Metric,BERT,BART,T5,FLAN-T5,Pegasus
ROUGE-1 F1,0.8406684418502951,0.8257755935781558,0.8284583873226118,0.837656234586423,0.8332187027817867
ROUGE-1 Recall,0.7946639741350578,0.7800792243837187,0.7856882045576453,0.7927273650520924,0.7905939885235386
ROUGE-1 Precision,0.9812157845856705,0.9871038581629665,0.9719435910916256,0.9787341565978116,0.9624362231151486
ROUGE-2 F1,0.8337869997022762,0.8189300559838026,0.8199503772103062,0.8305043049296794,0.8244477074227559
ROUGE-2 Recall,0.7881491237272324,0.7743474490967868,0.7768475265441538,0.7859296080401679,0.7819752876586686
ROUGE-2 Precision,0.9781113662841839,0.9846741915816045,0.9670178154151189,0.9751620814487526,0.9566324122701997
ROUGE-L F1,0.8391919638359662,0.824886136266111,0.8266887996497136,0.8363835267386885,0.8317090872395628
ROUGE-L Recall,0.793043630372233,0.7792401498140743,0.783391788568849,0.7913303282426516,0.7889602834522957
ROUGE-L Precision,0.9798120883888252,0.9860943864410595,0.9703187459709636,0.9775195416167055,0.9609490570716352
